,N°,CODE,LIBELLE,AE,CP
42,64,033,"climpat GOUVERNANCE DOUANIÈRE, PROTECTION Faciliter . DE L'ESPACE ÉCONOMIQUE extérieur la ET PARTICIPATION A LA SÉCURITÉ NATIONALE Améliorer GESTION DU TRÉSOR Trésor PUBLIC ET SUIVI DU le SECTEUR FINANCIER l'économie.",12770828,12770828
43,65,034,Assurer adéquate GESTION BUDGÉTAIRE DE Loi L'ÉTAT l'exécution budgets,14419192,14419192
44,66,092,Publiques Assurer GOUVERNANCE ET APPUI optimale INSTITUTIONNEL Programmes Ministère,17470544,17470544
45,67,015,Contribuer l'amélioration APPUI AU DEVELOPPEMENT compétitivité DES EXPORTATIONS « dans,498458,498458
46,68,021,FCFA) LIBELLE R E G U L A T IO N DU MARCHE IN T E R IE U R,3800047,3800047
47,69,025,ET GOUVERNANCE APPUI INSTITUTIONNEL DU MINCOMMERCE,3913209,3913209
48,70,152,"PROMOTION DE LA METROLOGIE, DE LA VEILLE NORMATIVE ET ENCADREMENT DU JUSTE PRIX",790286,790286
49,71,019,"Pl,ANIFICATION STRATEGIQUE ET AMENAGEMENT DURABLE DU TERRITOIRE",46588022,45585022
50,72,022,APPUI A LA TRANSFORMATION STRUCTURELLE POUR L'ACCELERATION DE LA CROISSANCE,12489584,12489584
51,73,023,CROISSANCE . wdes RENFORCEMENT DU PARTENARIAT AU DEVELOPPEMENT ET DE L'INTEGRATION REGIONALE,3048740,3048740
52,74,024,"GOUVERNANCE ET APPUI INSTITUTIONNEL DU SOUS- SECTEUR DE L'ECONOMIE, DE LA PLANIFICATION ET DE DU",7881654,7881654
53,75,014,PROMOTION DU TOURISME ET DES LOISIRS DIVERSIFICATION,1384098,1384098
54,76,150,DIVERSIFICATION ET RENFORCEMENT DE L'OFFRE DU TOURISME .ET DES LOISIRS,3605450,3605450
55,77,151,GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS SE:CTE:UR TOURISME ET LOISIRS,3525462,3525452
56,78,105,RENFORCEMENT DE L'ACCES AUX ENSEIGNEMENTS SECONDAIRES,120585300,120585300
57,79,106,FCFA) LIBELLE LA AMELIORATION DE QUALITE DE L'EDUCATION ET DE LA VIE EN MILIEU SCOLAIRE DANS LE SOUS- SECTEUR DES SENSEIGNEMENTS,264833969,264833969
58,80,107,SENSEIGNEMENTS SECONDAIRES GOUVERNANCE ET APPUI IsNoSuTsIT UTIONNEL DANS LE SECTEUR ENSEIGNEMENTS SECONDAIRES,53818731,53818731
59,81,112,SECONDAIRES INTENSIFICATION DE LA PROFESSIONNALISATION ET OPTIMISATION DE LA FORMATION DANS LE SOUS SECTEUR DES secondaire,100004000,100004000
60,82,144,"ET In.c.ul EDUCATION CIVIQUE c1v1ques, VOLONTARIAT éthpiques",7268338,7268338
61,83,145,. wAccroitre INSERTION SOCIO- économique ECONOMIQUE DES JEUNES encadrés structures,10510425,10510425
62,84,146,INTEGRATION NATIONALE Renforcer ET PARTICIPATION républicaines populations,3705604,3705604
63,85,147,GOUVERNANCE ET APPUI Améliorer INSTITUTIONNEL AU des MINISTERE DE LA bonne JEUNESSE ET DE des,56016335,601633
64,86,098,GOUVERNANCE ET APPUI Assurer sINoSuTsIT UTIONNEL DANS LE optimale SECTEUR Programmes DECENTRALISATION ET MINDDEVEL,3632820,3632820
65,91,091,BIODIVERSITE DEVELOPPEMENT DURABLE,1218500,1218500
66,92,093,". POLLUTIONS, NUISANCES ET SUBSTANCES CHIMIQUES NOCIVES ET/OU DANGEREUSES",1043000,1043000
67,95,036,FCFA) LIBEUE DEVELOPPEMENT ET DENSIFICATION DU TISSU INDUSTRIEL,1090000,1090000
68,96,037,MODERNISATION DE L'INFRASTRUCTURE QUALITE,1255200,1255200
69,97,038,DEVELOPPEMENT DES Tl:.CHNOLOGIES ET VALORISATION DES ACTIFS DE LA PROPRIETE,1176100,1176100
70,98,039,"INDUSTRIELLE GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR MINES, INDUSTRIE ET DEVELOPPEMENT",3571700,3571700
71,99,184,PRODUCTION ET PRODUCTIVITE DES FILIERES AGRICOLES,56030542,56030542
72,100,186,. wAméliorer GESTION DURABLE DES SYSTEMES DE PRODUCTION AGRICOLE ET SECURITE ALIMENTAIRE,11042250,11042205
73,,186,"DEVELOPPEMENT DES INFRASTRUCTURES AGRICOLES, RURALES ET MECANISATION AGRICOLE",28886092,28886092
74,103,053,DEVELOPPEMENT DES PRODUCTIONS ET DES INDUSTRIES ANIMALES,38050692,38050692
75,104,055,AMELIORATION DE LA COUVERTURE SANITAIRE DES CHEPTELS ET DE LA LUTTE LES CONTRE alimentaires,5792782,5792782
76,105,057,FCFA) LIBELLE DEVELOPPEMENT DES PRODUCTIONS HALIEUTIQUES,8250065,8250065
77,106,059,"GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS SECTEUR ELEVAGE, PECHES ET INDUSTRIES",6498322,6498322
78,107,016,OFFRE D'ENERGIE,210932810,210932810
79,108,137,ACCES A L'ENERGIE,34064601,34064601
