PAGE;CODE;LIBELLE;AE;CP
89;119;GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS SECTEUR ENSEIGNEMENT SUPERIEUR MINISTERE DE;81926715;81926715
89;136;GOUVERNANCE ET APPUI INSTITUTIONNEL AU SOUS- SECTEUR RECHERCHE ET INNOVATION DENSIFICATION DE LA;8194800;8194800
89;193;DENSIFICATION DE LA RECHERCHE- DEVELOPPEMENT ET DE L'INNOVATION;21711200;21711200
89;031;MOBILISATION DES RECETTES FISCALES INTERNES NON PÉTROLIÈRES GOUVERNANCE DOUANIÈRE,;19100246;19100246
89;032;PROTECTION DE L'ESPACE ÉCONOMIQUE ET PARTICIPATION LA SÉCURITÉ NATIONALE;13738648;13738648
90;033;GESTION DU TRÉSOR PUBLIC ET SUIVI DU SECTEUR FINANCIER;18578268;18578268
90;034;GESTION BUDGÉTAIRE DE L'ÉTAT;22903525;22903525
90;092;GOUVERNANCE ET APPUI INSTITUTIONNEL;22394314;22394314
90;015;PPUI AU DEVELOPPEMENT DES EXPORTATIONS;652412;652412
90;021;REGwULATION DU MARCHE INTERiEUR;5497124;5497124
90;025;GOUVERNANCE ET APPUI INSTITUTIONNEL DU MINCOMMERCE;4641376;4441376
90;152;PROMOTION DE LA METROLOGIE, DE LA VEILLE NORMATIVE ET ENCADREMENT DU JUSTE;770088;770088
90;019;PLANIFICATION STRATEGIQUE ET AMENAGEMENT DURABLE DU TERRITOIRE;58170273;58170273
91;022;APPUI LA TRANSFORMATION STRUCTURELLE POUR L'ACCELERATION DE LA CROISSANCE RENFORCEMENT DU;66644335;66644335
91;023;RENFORCEMENT DU PARTENARIAT AU DEVELOPPEMENT ET DE L'INTEGRATION REGIONALE GOUVERNANCE ET APPUI;17144191;17144191
91;024;INSTITUTIONNEL DU SOUS- SECTEUR DE L'ECONOMIE, DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;10173201;10173201
91;150;DIVERSIFICATION ET RENFORCEMENT DE L'OFFRE DU TOURISME ET DES LOISIR GOUVERNANCE ET APPUI;4423575;4063575
91;151;GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS SECTEUR TOURISME ET LOISIRS MINISTERE DES EN;3876275;3651275
91;105;SECONDAIRES RENFORCEMENT DE L'ACCES AUX ENSEIGNEMENTS SECONDAIRES AMÉLIORATION DE LA QUALITE DE L'EDUCATION ET;134038800;134038800
91;106;DE LA VIE EN MILIEU SCOLAIRE DANS LE SOUS- SECTEUR DES ENSEIGNEMENTS SECONDAIRES GOUVERNANCE ET APPUI;285327000;285327000
91;107;INSTITUTIONNEL DANS LE SOUS SECTEUR ENSEIGNEMENTS SECONDAIRES INTENSIFICATION DE LA PROFESSIONNALISATION ET;52727200;52727200
91;112;OPTIMISATION DE LA FORMATION DANS LE SOUS SECTEUR DES ENSEIGNEMENTS SECONDAIRES OU;112073000;112073000
92;144;EDUCATION CIVIQUE ET VOLONTARIAT;8483999;8483999
92;145;INSERTION SOCIO­ ECONOMIQUE DES JEUNES MINJEC;10417555;10417555
92;146;INTEGRATION NATIONALE ET PARTICIPATION CITOYENNE GOUVERNANCE ET APPUI;5306922;5306922
92;147;GOUVERNANCE ET APPUI INSTITUTIONNEL AU MINISTERE DE LA JEUNESSE ET DE L'EDUCATION CIVIQUE MINISTRE DE LA;5798524;5798524
92;098;INSTITUTIONNEL DANS LE SOUS SECTEUR DECENTRALISATION ET MINDDEV DEVELOPPEMENT LOCAL;4154820;4154820
92;099;APPROFONDISSEMENT DU PROCESSUS DE DÉCENTRALISATION;29891680;29891680
92;100;PROMOTION DU DEVELOPPEMENT LOCAL PRE81De PR;92118500;92118500
93;002;CHANGEMENTS CLIMATIQUES, DESERTIFICATION ET SECHERESSE;5647000;5647000
93;069;BIODIVERSITE;1853000;1853000
93;091;DEVELOPPEMENT DURABLE POLLUTIONS, NUISANCES ET;894000;894000
93;093;POLLUTIONS, NUISANCES ET SUBSTANCES CHIMIQUES NOCIVES ET/OU DANGEREUSES GOUVERNANCE ET APPUI;1291000;1291000
93;094;GOUVERNANCE ET APPUI INSTITUTIONNEL DU SOUS- SECTEUR ENVIRONNEMENT, PROTECTION DE LA NATURE ET DEVELOPPEMENT DURABLE;2195000;2195000
94;035;AMÉLIORATION DE LA CONNAISSANCE DU POTENTIEL GEOLOGIQUE ET VALORISATION DES RESSOURCES MINIERES;2734000;2734000
94;036;DEVELOPPEMENT ET DENSIFICATION DU TISSU INDUSTRIEL;3932500;3932500
94;037;MODERNISATION DE L'INFRASTRUCTURE QUALITE;838500;838500
94;038;DEVELOPPEMENT DES TECHNOLOGIES ET VALORISATION DES ACTIFS LA PROPRIETE INDUSTRIELLE GOWERNANCE ET APPUI;952400;952400
94;039;INSTITUTIONNEL DANS LE SOUS-SECTEUR MINES, INDUSTRIE ET DEVELOPPEMENT TECHNOLOGIQUE MINMIDT MINISTERE DE;4696600;4696600
94;184;PRODUCTION ET PRODUCTIVITE DES FILIERE AGRICOLES GEST ION DURABLE DES;23940024;23940024
94;185;GEST ION DURABLE DES SYSTEMES DE PRODUCTION AGRICOLE ET SECURITE ALIMENTAIRE;16336000;16336000
94;186;DEVELOPPEMENT DES INFRASTRUCTURES AGRICOLES, RURALES ET MECANISATION AGRICOLE GOUVERNANCE ET APPUI;33278530;33278530
94;187;INSTITUTIONNEL DANS LE SOUS SECTEUR AGRICULTURE ET DEVELOPPEMENT RURAL;33019656;33019656
95;053;DES INDUSTRIES DEVELOPPEMENT DES PRODUCTIONS ET DES INDUSTRIES ANIMALES AMÉLIORATION DE LA;23109076;23109076
95;055;AMÉLIORATION DE LA COWERTURE SANITAIRE DES CHEPTELS ET DE LA LUTTE CONTRE LES ZOONOSES;5533181;5533181
95;057;DEVELOPPEMENT DES PRODUCTIONS HALIEUTIQUES GOUVERNANCE ET APPUI;15814075;15814075
95;059;INSTITUTIONNEL DANS LE SOUS SECTEUR ELEVAGE, PECHES ET INDUSTRIES ANIMALES;8527667;8527667
95;016;OFFRE D'ENERGIE ACCES L'ENERGIE;202138774;202138774
95;138;ACCES L'EAU POTABLE ET L'ASSAINISSEMENT LIQUIDE GOUVERNANCE ET APPUI;62274020;62274020
95;139;GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR EAU ET ENERGIE PRE3\DE 1Y;82463334;82463334
96;054;;5277450;5277450
96;056;;3142442;3142442
96;058;;2329400;2329400
96;060;MINISTERE DE;11304708;11304708
96;120;PROMOTION DE L'EMPLOI DÉCENT ET DE L'INSERTION PROFESSIONNELLE MINEFOP;4461050;4461050
96;121;DÉVELOPPEMENT DES COMPÉTENCES GOUVERNANCE ET APPUI;18828479;18814479
96;122;INSTITUTIONNEL DANS LE SOUS-SECTEUR DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE PRE AIO;9844971;9844471
97;125;;457358069;375581585
97;126;REHABILITATION, MAINTENANCE ET ENTRETIEN DES ROUTES ET AUTRES INFRASTRUCTURES;237949426;200334419
97;127;RÉALISATION DES ÉTUDES TECHNIQUES D'INFRASTRUCTURES;2912284;2912284
97;128;GOUVERNANCE ET APPUI INSTITUTIONNEL MINISTERE DES;59748212;59748212
97;026;MODERNISATION DU CADASTRE;1567500;1567500
97;061;PROTECTION ET DEVELOPPEMENT DU PATRIMOINE DE L'ETAT;12591987;12591987
97;066;PROTECTION ET VALORISATION DwES DOMAINES;3214658;3214658
97;068;OPTIMISATION DE LA GESTIO DESw AFFAIRES FONCIERES GOUVERNANCE ET APPUI;1721500;1721500
97;075;INSTITUTIONNEL DU SOUS- SECTEUR DOMAINE, CADA STRE ET AFFAIRES FONCIERES MINISTERE DE;6072355;6072355
97;108;DEVELOPPEMENT DEVELOPPEMENT DE L'HABITAT;45201313;45201313
97;109;AMÉLIORATION DE L'ENVIRONNEMENT SOCIAL URBAIN DEVELOPPEMENT DES;1785887;1785887
97;111;DEVELOPPEMENT DES INFRASTRUCTURES DE TRANSPORT URBAIN ET DE MOBILITE DURABLE.;103332953;103332953
97;113;GOUVERNANCE ET APPUI INSTITUTIONNEL DU SOUS- SECTEUR URBAIN.;7434813;7434813
98;043;PROMOTION DE L'ENTREPRENEURIAT;3796089;3796089
98;044;TRANSFORMATION ET MODERNISATION DES UNITES DE PRODUCTION;6726640;6726640
98;167;GOUVERNANCE ET APPUI INSTITUTIONNEL DU;5966011;5966011
98;045;PREVENTION DE LA MALADIE;58254620;58254620
98;046;PROMOTION DE LA SANTE ET NUTRITION;5412790;5412790
99;047;RENFORCEMENT DU SYSTEME DE SANTE;125504857;130106085
99;048;;51531852;51531852
99;049;GOUVERNANCE ET PILOTAGE STRATEGIQUE DU SYSTEME DE SANTE MINISTERE OU;51893653;51893653
99;017;PROMOTION DE LA SECURITE SOCIALE POUR TOUS;1018000;1018000
99;018;PROMOTION DU TRAVAIL DECENT GOUVERNANCE ET APPUI;3113787;3113787
99;159;GOUVERNANCE ET APPUI INSTITUTIONNEL DU SOUS SECTEUR TRAVAIL ET SECURITE SOCIALE;3768213;3768213
99;070;PROTECTION SOCIALE DE L'ENFANCE PROTECTION SOCIALE DES;2881400;2881400
99;071;PROTECTION SOCIALE DES GROUPES VULNERABILITÉS SPECIFIQUES ET SOLIDARITÉ NATIONALE;16889250;16889250
99;179;GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR DES AFFAIRES SOCIALES MINAS PRE011>1'NC� PRESlD&NC.:Y ITA ��QCWIID!IS!I' TIPl;5554350;5554350
100;140;AUTONOMISATION ECONOMIQUE DES FEMMES;3340180;3340180
